id,CODE,Electorate,VerifiedBallotPapers,Remain,Leave,RemainPlusLeave,NoVote
108,E06000031,120892,87469,34176,53216,87392,33500
109,E06000032,127612,84636,36708,47773,84481,43131
112,E06000033,128856,93939,39348,54522,93870,34986
113,E06000034,109897,79954,22151,57765,79916,29981
110,E06000055,119530,86136,41497,44569,86066,33464
111,E06000056,204004,158896,69670,89134,158804,45200
184,E07000008,80108,57860,42682,15117,57799,22309
185,E07000009,62435,48120,23599,24487,48086,14349
186,E07000010,71447,52649,15055,37571,52626,18821
187,E07000011,128486,99990,45729,54198,99927,28559
188,E07000012,114830,93263,56128,37061,93189,21641
222,E07000066,132771,98071,30748,67251,97999,34772
223,E07000067,112562,86309,33523,52713,86236,26326
224,E07000068,58777,46724,19077,27627,46704,12073
225,E07000069,68860,51909,14154,37691,51845,17015
226,E07000070,129971,100866,47545,53249,100794,29177
227,E07000071,127520,95802,44414,51305,95719,31801
228,E07000072,100016,76900,28676,48176,76852,23164
229,E07000073,59124,43489,13867,29602,43469,15655
230,E07000074,49073,38850,14529,24302,38831,10242
231,E07000075,66589,52479,17510,34937,52447,14142
232,E07000076,111167,82725,25210,57447,82657,28510
233,E07000077,64735,51972,25619,26324,51943,12792
251,E07000095,68997,50907,17166,33706,50872,18125
252,E07000096,108965,86308,42542,43702,86244,22721
254,E07000098,73295,56159,27593,28532,56125,17170
255,E07000099,99316,77741,42234,35438,77672,21644
258,E07000102,67380,52898,25751,27097,52848,14532
259,E07000103,65060,46635,23167,23419,46586,18474
299,E07000143,98989,73593,26313,47235,73548,25441
300,E07000144,99254,77783,35469,42268,77737,21517
301,E07000145,72634,50156,14284,35844,50128,22506
302,E07000146,113884,85128,28587,56493,85080,28804
303,E07000147,83065,63838,26214,37576,63790,19275
304,E07000148,96091,66423,37326,29040,66366,29725
305,E07000149,102395,80418,38817,41541,80358,22037
345,E07000200,70628,55274,25309,29933,55242,15386
346,E07000201,38527,27977,9791,18160,27951,10576
347,E07000202,91574,66405,27698,38655,66353,25221
348,E07000203,78325,61231,27391,33794,61185,17140
349,E07000204,81148,62256,26986,35224,62210,18938
350,E07000205,98195,79231,37218,41966,79184,19011
